sample_count,mean_error,rmse,median_error,p90_error,max_error,los_sample_count,los_mean_error,los_rmse,los_median_error,los_p90_error,los_max_error,nlos_sample_count,nlos_mean_error,nlos_rmse,nlos_median_error,nlos_p90_error,nlos_max_error,nlos_los_mean_degradation,nlos_los_mean_degradation_percent,algorithm,scenario,seed,evaluation_split,inference_time_ms,training_time_s,model_size_mb,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,mean_error_percent_improvement,absolute_error_change,absolute_improvement,percent_improvement
6000,7.779330939367637,8.972252431255141,7.846394364766712,13.831507076793395,24.868121474439302,659,2.062826087775358,2.3676826828273354,1.8943160405382395,3.4433603803116,9.789827381829895,5341,8.484662655750206,9.47324082392785,8.66812315392437,14.030196315351073,24.868121474439302,6.421836567974848,311.3125534930789,Geometric LS,in_domain,42,in_domain_test,5.190799999581941,2.099999619531445e-06,0.0006723403930664062,7.779330939367637,0.0,0.0,0.0,0.0,0.0,0.0
6000,1.4630408095669114,1.9034650359174683,1.1373804296278556,2.9303526283842074,12.412943336734998,659,1.6875024547610922,2.1081214247008315,1.3729877434243711,3.2698576360218152,7.7089415297817,5341,1.435345579425933,1.8766673501429045,1.1022287431238718,2.880254755312824,12.412943336734998,-0.25215687533515907,-14.942607912879044,KNN,in_domain,42,in_domain_test,1.6121999997267267,4.893909000000349,4.341403007507324,7.779330939367637,-6.316290129800725,6.316290129800725,81.19323087075354,-6.316290129800725,6.316290129800725,81.19323087075354
6000,1.4673023614878111,1.7550622214515568,1.2763189486055615,2.702795015486768,10.645530031806791,659,1.654714630463741,1.9353385887049783,1.481379389142091,2.9107181393932144,8.046850902403136,5341,1.4441784735913241,1.7315184816503897,1.2419321979560989,2.6608410015715807,10.645530031806791,-0.2105361568724169,-12.723411819560283,Direct AI,in_domain,42,in_domain_test,3.768500000660424,20.88412470000003,0.16312122344970703,7.779330939367637,-6.3120285778798255,6.3120285778798255,81.13845042814074,-6.3120285778798255,6.3120285778798255,81.13845042814074
6000,4.212555998755785,4.8579028264947945,4.04171368202042,7.464863768336772,18.41489590554994,659,1.6616551036295344,1.8819816984103679,1.5760676771999196,2.8151619226852027,6.456369129303389,5341,4.527299247190197,5.106270704484447,4.411922630291707,7.594896091097977,18.41489590554994,2.865644143560663,172.45721674138449,Residual AI,in_domain,42,in_domain_test,25.4955999998856,16.251457800000026,207.80686378479004,7.779330939367637,-3.566774940611852,3.566774940611852,45.849379187123084,-3.566774940611852,3.566774940611852,45.849379187123084
4000,4.751069787317477,5.374534042184436,4.495185380614762,7.517010400832001,15.401624897473715,843,3.252603237446871,3.5575097523070394,3.2752925628850362,5.102301566212736,8.320478155634936,3157,5.151198802693124,5.7636250141465055,4.9066582932410805,8.280214249980647,15.401624897473715,1.8985955652462532,58.371569682644555,Geometric LS,normal,42,spatial_holdout,5.190799999581941,2.099999619531445e-06,0.0006723403930664062,4.751069787317477,0.0,0.0,0.0,0.0,0.0,0.0
4000,7.245243600718186,7.746245609343823,6.907182476900418,10.606952323291502,17.056545421869377,843,6.7125171033688344,6.848265261200982,6.750559548560642,8.18884652887417,17.056545421869377,3157,7.387495243817807,7.968930179710313,7.0061054319285905,11.386022655965322,16.385808131895814,0.6749781404489728,10.055514646066511,KNN,normal,42,spatial_holdout,1.6121999997267267,4.893909000000349,4.341403007507324,4.751069787317477,2.4941738134007085,-2.4941738134007085,-52.497099075636925,2.4941738134007085,-2.4941738134007085,-52.497099075636925
4000,5.262719159648341,5.739978128420195,5.056596856946284,8.31975466676512,17.596345257215148,843,5.609302283515872,5.809090647222966,5.6586771096500215,7.52288185252488,17.596345257215148,3157,5.170172573199077,5.721382086375744,4.815105020984398,8.671773745125433,14.021424171376992,-0.43912971031679504,-7.828597713609964,Direct AI,normal,42,spatial_holdout,3.768500000660424,20.88412470000003,0.16312122344970703,4.751069787317477,0.5116493723308642,-0.5116493723308642,-10.769140324915094,0.5116493723308642,-0.5116493723308642,-10.769140324915094
4000,3.3921339828930703,4.173478784607704,2.9563202302971523,6.195820796325039,14.667923270676749,843,2.73785221557884,2.9481894558799793,2.740929373397411,4.076360486920822,6.192512194950166,3157,3.566844001849641,4.443874306018407,3.081919163872786,7.10007732956018,14.667923270676749,0.8289917862708012,30.278909195817743,Residual AI,normal,42,spatial_holdout,25.4955999998856,16.251457800000026,207.80686378479004,4.751069787317477,-1.3589358044244069,1.3589358044244069,28.602732968729587,-1.3589358044244069,1.3589358044244069,28.602732968729587
4000,6.6895327543705525,7.986096969906137,5.5746005269446055,12.66970555773728,31.797950885756563,881,5.839841580118787,7.2148652541732545,4.901743826198221,11.34107003674809,31.797950885756563,3119,6.929538501249619,8.190798605294088,5.7755275736457525,12.78475911477307,29.840808428930618,1.089696921130832,18.65970003091534,Geometric LS,high_noise,42,spatial_holdout,5.190799999581941,2.099999619531445e-06,0.0006723403930664062,6.6895327543705525,0.0,0.0,0.0,0.0,0.0,0.0
4000,8.67548895992753,9.264912544015594,8.185391322875159,12.99468499581724,25.20866382084372,881,8.761870898194772,9.203089986074476,8.087539569907507,12.74362899645626,18.907744374309498,3119,8.651089316575993,9.282300509463475,8.207853748746198,13.091855747097375,25.20866382084372,-0.11078158161877916,-1.2643598942048295,KNN,high_noise,42,spatial_holdout,1.6121999997267267,4.893909000000349,4.341403007507324,6.6895327543705525,1.9859562055569784,-1.9859562055569784,-29.687517476605073,1.9859562055569784,-1.9859562055569784,-29.687517476605073
4000,6.535357468279588,7.419553612290581,5.981194599113259,10.99139645985348,24.94081087636742,881,6.771986900647823,7.496140993906917,6.26695729071032,10.340435084744534,24.204557144055048,3119,6.468518568017833,7.39777695238502,5.841533941515529,11.129601590575914,24.94081087636742,-0.30346833262998985,-4.481230355022681,Direct AI,high_noise,42,spatial_holdout,3.768500000660424,20.88412470000003,0.16312122344970703,6.6895327543705525,-0.15417528609096465,0.15417528609096465,2.3047242872117706,-0.15417528609096465,0.15417528609096465,2.3047242872117706
4000,5.714814209941093,6.971510346651004,4.584276480970805,11.224456121897505,29.52876899108248,881,5.609337146968234,6.682457517952371,4.644671076487777,10.37364537473919,29.52876899108248,3119,5.744607506664108,7.051010968369187,4.567894611546263,11.308890090013259,27.679143884606532,0.1352703596958742,2.411521293010278,Residual AI,high_noise,42,spatial_holdout,25.4955999998856,16.251457800000026,207.80686378479004,6.6895327543705525,-0.9747185444294599,0.9747185444294599,14.570801582407015,-0.9747185444294599,0.9747185444294599,14.570801582407015
4000,7.353943496176538,8.701508109885589,5.799869018977484,13.80247450455543,28.21895634078175,898,3.9585158675303656,4.425141004602059,3.8760132905712794,6.036035140215798,24.340072544570784,3102,8.336888051471272,9.589922776004979,7.194186576625843,14.084887389992822,28.21895634078175,4.378372183940906,110.6064073117504,Geometric LS,strong_blockage,42,spatial_holdout,5.190799999581941,2.099999619531445e-06,0.0006723403930664062,7.353943496176538,0.0,0.0,0.0,0.0,0.0,0.0
4000,8.003818132884389,8.54518070991481,7.572925962200506,12.245539465642679,21.008618805668096,898,7.5101869242830634,7.750156315249522,7.3802559157424845,9.59206462958963,19.98994639556271,3102,8.146719752911464,8.761878787454284,7.682114604636755,12.803027517615694,21.008618805668096,0.6365328286284004,8.47559235270519,KNN,strong_blockage,42,spatial_holdout,1.6121999997267267,4.893909000000349,4.341403007507324,7.353943496176538,0.6498746367078505,-0.6498746367078505,-8.837090427003325,0.6498746367078505,-0.6498746367078505,-8.837090427003325
4000,4.8678935034614135,5.497807588329517,4.44135453117095,8.10690320964237,22.661099005512398,898,5.695734329308188,6.061697221879297,5.518596105426996,7.692573778656318,21.210558491534606,3102,4.6282413237030635,5.323429883902799,4.094688151157694,8.355428656102054,22.661099005512398,-1.0674930056051242,-18.7419732713338,Direct AI,strong_blockage,42,spatial_holdout,3.768500000660424,20.88412470000003,0.16312122344970703,7.353943496176538,-2.4860499927151247,2.4860499927151247,33.80567166456571,-2.4860499927151247,2.4860499927151247,33.80567166456571
4000,5.8526805625037746,7.261254188214691,4.102836461480816,11.966141112848852,24.55919901994455,898,3.3381925298274164,3.6951741935165425,3.3129739671541882,4.935670565876282,20.94591736273639,3102,6.580601340499702,8.002290071153809,5.059303748493599,12.493206341561894,24.55919901994455,3.2424088106722855,97.13067121505772,Residual AI,strong_blockage,42,spatial_holdout,25.4955999998856,16.251457800000026,207.80686378479004,7.353943496176538,-1.5012629336727636,1.5012629336727636,20.414393100155042,-1.5012629336727636,1.5012629336727636,20.414393100155042
4000,5.597592614942734,6.7087817857341845,4.76482037965418,10.938009231022592,32.76855224415624,1958,4.6536764760886085,5.77687848273477,3.892145333743308,8.537707797679703,27.173003072737252,2042,6.502679686380724,7.494300800197626,5.609107128175969,12.186676926788406,32.76855224415624,1.849003210292116,39.732096113526865,Geometric LS,anchor_failure,42,spatial_holdout,5.190799999581941,2.099999619531445e-06,0.0006723403930664062,5.597592614942734,0.0,0.0,0.0,0.0,0.0,0.0
4000,12.024580097189224,12.33733296362172,11.73110894806263,15.859999507431514,22.39191119802147,1958,12.98582611139147,13.25125451421244,12.889855585732313,16.502956816812528,22.39191119802147,2042,11.102876034599607,11.39235846181705,10.823903046983258,14.97017006832723,20.861311281578786,-1.8829500767918628,-14.500040741652125,KNN,anchor_failure,42,spatial_holdout,1.6121999997267267,4.893909000000349,4.341403007507324,5.597592614942734,6.42698748224649,-6.42698748224649,-114.8169923100458,6.42698748224649,-6.42698748224649,-114.8169923100458
4000,19.301014432642223,19.53304093113152,19.10555792928876,22.433143256853285,30.71434968269729,1958,19.032411897565677,19.289941131400543,18.630371145318428,23.65134878306131,29.60963137942823,2042,19.558567695952647,19.763332463831507,19.71588524166286,22.25636362888062,30.71434968269729,0.52615579838697,2.76452507027902,Direct AI,anchor_failure,42,spatial_holdout,3.768500000660424,20.88412470000003,0.16312122344970703,5.597592614942734,13.703421817699489,-13.703421817699489,-244.80920210446007,13.703421817699489,-13.703421817699489,-244.80920210446007
4000,5.555953626377441,6.285635172237661,4.995685771109506,9.511368110274946,26.152283443662764,1958,5.339521019905119,6.033384018381401,4.8939083086216435,8.478036466228273,24.233479808034463,2042,5.763483030624654,6.518348434088864,5.08852158360714,10.132204003116371,26.152283443662764,0.423962010719535,7.940075694787107,Residual AI,anchor_failure,42,spatial_holdout,25.4955999998856,16.251457800000026,207.80686378479004,5.597592614942734,-0.04163898856529258,0.04163898856529258,0.7438731510066952,-0.04163898856529258,0.04163898856529258,0.7438731510066952
4000,6.15379782207173,7.320446661155997,5.183114099942932,12.268403711407158,32.39744503648316,914,4.398170849763905,5.364600736561711,4.156396244195992,6.366664860572871,32.39744503648316,3086,6.673772887752013,7.806220103769072,5.635486726883306,13.062189642435474,30.58190687400196,2.275602037988108,51.73973717074367,Geometric LS,domain_shift,42,spatial_holdout,5.190799999581941,2.099999619531445e-06,0.0006723403930664062,6.15379782207173,0.0,0.0,0.0,0.0,0.0,0.0
