experiment,algorithm,scenario,seed,measurement_seed,model_training_seed,seed_scope,level,failure_mode,sample_count,mean_error,rmse,median_error,p90_error,max_error,los_mean_error,nlos_mean_error,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,mean_error_percent_improvement,absolute_error_change,absolute_improvement,percent_improvement,evaluation_split,inference_time_ms,training_time_s,model_size_mb
noise,Geometric LS,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,4.787941232761692,5.401940396075357,4.510634342297042,7.18217509275071,15.04201661963874,3.174573258564431,5.196900802822836,4.787941232761692,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,7.474513371833258,8.047231966413605,7.111688218427712,11.961733206106594,16.87481631714599,6.897118044759544,7.620872633013503,4.787941232761692,2.6865721390715667,-2.6865721390715667,-56.11121792156894,2.6865721390715667,-2.6865721390715667,-56.11121792156894,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,5.618934846086568,6.057073980470834,5.242670855447191,8.888651394497282,12.585880746621337,6.166887325335512,5.480038813742129,4.787941232761692,0.8309936133248765,-0.8309936133248765,-17.355969359831892,0.8309936133248765,-0.8309936133248765,-17.355969359831892,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,3.3952491892593684,4.341392068545502,2.8018500512561406,6.326844521366495,14.855124686084295,2.7434292522961794,3.560473741525803,4.787941232761692,-1.3926920435023231,1.3926920435023231,29.087492427283127,-1.3926920435023231,1.3926920435023231,29.087492427283127,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,4.917957611840976,5.62358809597405,4.529873154778296,7.9137190602431104,15.51591714600132,3.0674584332811143,5.387025648746123,4.917957611840976,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,7.517968675040938,8.088863085352566,7.180163873590047,11.892794373409146,16.826474287586223,6.911062135343393,7.671808494295749,4.917957611840976,2.600011063199963,-2.600011063199963,-52.86769973250504,2.600011063199963,-2.600011063199963,-52.86769973250504,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,5.667096263796839,6.099871687027883,5.396004045849542,8.940084052139959,12.55808159894586,6.144328520781473,5.546126527346696,4.917957611840976,0.7491386519558629,-0.7491386519558629,-15.23271876423173,0.7491386519558629,-0.7491386519558629,-15.23271876423173,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,3.5819202228747424,4.582670030143446,2.913428574714932,7.644688752940653,14.761101576447214,2.7835093156699484,3.784302931943368,4.917957611840976,-1.3360373889662331,1.3360373889662331,27.16650883182591,-1.3360373889662331,1.3360373889662331,27.16650883182591,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,2.0,not_applicable,450,5.1673802277436485,5.9453232231168185,4.7350366417009,8.80688084765321,15.515917145923853,3.0360885963195856,5.707624067463954,5.1673802277436485,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,42,42,42,fixed_root_model_across_measurement_seeds,2.0,not_applicable,450,7.789499445338913,8.352801793991711,7.417460362464621,11.946631925568434,16.829567236460118,7.157093635881259,7.949802867791966,5.1673802277436485,2.622119217595264,-2.622119217595264,-50.74368639484113,2.622119217595264,-2.622119217595264,-50.74368639484113,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
