method,mean_error,mean_error_std,rmse,rmse_std,median_error,median_error_std,p90_error,p90_error_std,max_error,los_mean_error,nlos_mean_error,inference_time_ms,training_time_s,model_size_mb,sample_count,seed_count,aggregation,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,improvement_vs_geometric_pct
Geometric LS,5.3569531890773865,0.31237142466099777,6.158928539675015,0.4023790944705022,4.807274242337681,0.19845182867774103,9.576066012906386,1.0869704179678574,26.023927283626,3.669519319093578,5.806052454043956,5.190799999581941,1.5199999324977399e-06,0.0006723403930664,20000,5,"independent-seed aggregate; mean/RMSE are sample-weighted, median/P90 are means of per-seed quantiles, max is the maximum across seeds",5.3569531890773865,0.0,0.0,0.0
KNN,7.430349715775016,0.21013051675571134,7.920475801431828,0.17280702699653142,7.107727087236785,0.25872169125549815,11.080644991597666,0.3192003410110586,21.706833084096864,7.249307097620665,7.478533000576286,1.6121999997267271,4.509529040000416,4.341403007507324,20000,5,"independent-seed aggregate; mean/RMSE are sample-weighted, median/P90 are means of per-seed quantiles, max is the maximum across seeds",5.3569531890773865,2.0733965266976293,-2.0733965266976293,-38.704772162751055
Direct AI,4.2662580894403535,0.7615012561363513,4.743919178509352,0.7455480003003151,4.079148360561607,0.8670076486344244,6.817954268510276,0.8898066199992549,22.59080841577761,4.334625608279518,4.248062530488729,3.768500000660424,21.037175020000358,0.16365833282470701,20000,5,"independent-seed aggregate; mean/RMSE are sample-weighted, median/P90 are means of per-seed quantiles, max is the maximum across seeds",5.3569531890773865,-1.090695099637033,1.090695099637033,20.3603627125381
Residual AI,3.904460982154542,0.2585665869576413,4.879298774735692,0.38960976100861344,3.2850717952321404,0.1691920405055951,7.966606652449714,0.9999250819128296,21.718002978096543,3.0467791955207457,4.132727266720792,25.4955999998856,16.994635200000083,207.55945777893066,20000,5,"independent-seed aggregate; mean/RMSE are sample-weighted, median/P90 are means of per-seed quantiles, max is the maximum across seeds",5.3569531890773865,-1.4524922069228445,1.4524922069228445,27.11414783098008
