sample_count,mean_error,rmse,median_error,p90_error,max_error,los_sample_count,los_mean_error,los_rmse,los_median_error,los_p90_error,los_max_error,nlos_sample_count,nlos_mean_error,nlos_rmse,nlos_median_error,nlos_p90_error,nlos_max_error,nlos_los_mean_degradation,nlos_los_mean_degradation_percent,algorithm,scenario,seed,evaluation_split,inference_time_ms,training_time_s,model_size_mb,seed_scope,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,mean_error_percent_improvement,absolute_error_change,absolute_improvement,percent_improvement
4000,3.950239865056876,4.373032169266784,3.626468851259652,6.666506000981582,12.969150039625664,825,3.661904050425737,3.911059694328731,3.6058494101443705,5.318022301324564,12.969150039625664,3175,4.025161769646068,4.485290793489782,3.639324777674254,6.873661253551511,12.13067279716444,0.3632577192203312,9.919913635587982,Direct AI,normal,2026,spatial_holdout,3.768500000660424,21.95188260000032,0.1645097732543945,independent_training,5.599830188353514,-1.6495903232966382,1.6495903232966382,29.4578633246316,-1.6495903232966382,1.6495903232966382,29.4578633246316
4000,3.8624224848597457,4.907226207627132,3.1562692407167,8.519731144018051,14.816985497159926,825,2.8694619041972063,3.110327278079974,2.957130638484743,4.350684691424472,6.389363066320108,3175,4.12043586408702,5.274879233470923,3.2449103450251986,9.398077922681145,14.816985497159926,1.250973959889814,43.59611668166756,Residual AI,normal,2026,spatial_holdout,25.4955999998856,17.636969099999988,208.46558570861816,independent_training,5.599830188353514,-1.7374077034937685,1.7374077034937685,31.02607838193408,-1.7374077034937685,1.7374077034937685,31.02607838193408
4000,5.54682976057961,6.3757509274325,4.879849490941384,9.738729494397644,26.023927283626,831,3.997542527017748,4.286684328848792,4.10896727038652,6.027041098265117,7.981880469203014,3169,5.953095993173458,6.818445829542989,5.166049134257558,11.264818757707973,26.023927283626,1.9555534661557104,48.91889086704965,Geometric LS,normal,31415,spatial_holdout,5.190799999581941,1.7000002117129045e-06,0.0006723403930664,independent_training,5.54682976057961,0.0,0.0,0.0,0.0,0.0,0.0
4000,7.2404966805726465,7.749106199535697,6.880586292326795,10.643705214384669,21.706833084096864,831,7.174277840808417,7.329799260298374,7.183371330406079,8.818232847786728,14.52996167521613,3169,7.257861103369765,7.855356904921718,6.765909341095987,11.26515460907807,21.706833084096864,0.0835832625613486,1.165040780633194,KNN,normal,31415,spatial_holdout,1.612199999726727,4.390355100000306,4.341403007507324,independent_training,5.54682976057961,1.6936669199930368,-1.6936669199930368,-30.53396251728589,1.6936669199930368,-1.6936669199930368,-30.53396251728589
4000,3.369476350813027,3.831404373769921,3.070294075390831,5.718376300580823,19.98499699996905,831,2.696342545135943,3.139961720664706,2.4481003014522056,4.592882796132655,14.2932918069136,3169,3.5459907694049044,3.9929533255401615,3.241909422579936,5.948814048310589,19.98499699996905,0.8496482242689614,31.511138145325084,Direct AI,normal,31415,spatial_holdout,3.768500000660424,19.687748099999222,0.1628618240356445,independent_training,5.54682976057961,-2.1773534097665825,2.1773534097665825,39.25401542410168,-2.1773534097665825,2.1773534097665825,39.25401542410168
4000,4.10662301596439,5.13121297104978,3.4971637514865037,8.159955057894981,21.718002978096543,831,3.682566287991013,3.967683588937035,3.777935374050858,5.51676613596127,7.03841542214212,3169,4.217822492438318,5.394952173098739,3.3719902407379294,8.895618939551447,21.718002978096543,0.5352562044473048,14.534869506430756,Residual AI,normal,31415,spatial_holdout,25.4955999998856,17.693805000000793,208.5690402984619,independent_training,5.54682976057961,-1.44020674461522,1.44020674461522,25.96450236945305,-1.44020674461522,1.44020674461522,25.96450236945305
4000,5.076390115931423,5.931171080970151,4.512338245386688,8.613779073081634,15.936455338791689,853,3.4660919360547657,3.790485455588608,3.488312486835208,5.639695835039296,7.445459572193895,3147,5.512864328652996,6.389025913600599,4.886574133808328,9.855906371231958,15.936455338791689,2.04677239259823,59.05130130298685,Geometric LS,normal,27182,spatial_holdout,5.190799999581941,1.5000005078036338e-06,0.0006723403930664,independent_training,5.076390115931423,0.0,0.0,0.0,0.0,0.0,0.0
4000,7.469303654304682,7.952639799464119,7.184571599238705,11.120572247056462,21.248251172446103,853,7.040724901023074,7.232867870566157,6.998619825426535,8.549887289435938,17.383789638085062,3147,7.585470694835094,8.136774765865624,7.303541736104877,11.516760769759165,21.248251172446103,0.5447457938120204,7.737069711854022,KNN,normal,27182,spatial_holdout,1.612199999726727,3.91401980000046,4.341403007507324,independent_training,5.076390115931423,2.392913538373259,-2.392913538373259,-47.138093876266325,2.392913538373259,-2.392913538373259,-47.138093876266325
4000,3.942660956955912,4.384390414304465,3.753779638388101,6.418205682032846,15.921983707936905,853,4.201380681005638,4.522722352217109,4.100016554282929,6.102437939251922,15.367628614578829,3147,3.87253451125702,4.346136910162856,3.646998986323637,6.474087852750727,15.921983707936905,-0.3288461697486182,-7.827097678516149,Direct AI,normal,27182,spatial_holdout,3.768500000660424,21.53390560000116,0.164189338684082,independent_training,5.076390115931423,-1.1337291589755103,1.1337291589755103,22.333373383134724,-1.1337291589755103,1.1337291589755103,22.333373383134724
4000,3.722686025160303,4.776692330426484,3.093170331331847,7.144456422260456,15.03956179412729,853,2.831736556537,3.1060207316118165,2.8695211098335647,4.531012092365415,6.821719021976563,3147,3.964179478206276,5.136768036886014,3.20700962491012,8.065109132314463,15.03956179412729,1.1324429216692762,39.99111142789951,Residual AI,normal,27182,spatial_holdout,25.4955999998856,16.17463130000033,207.0359897613525,independent_training,5.076390115931423,-1.3537040907711195,1.3537040907711195,26.666667845773716,-1.3537040907711195,1.3537040907711195,26.666667845773716
