method,los_mean_error,los_median_error,nlos_mean_error,nlos_median_error,nlos_p90_error,seed_count,nlos_degradation_pct
Direct AI,4.3258531623915655,4.187238359494951,4.248830343500108,4.022972266328919,6.981183693196504,5,-1.7805231939235509
Geometric LS,3.6709493235211603,3.6940839150474636,5.805654338171246,5.164848066308034,10.622145217946919,5,58.151307101196515
KNN,7.250023298525785,7.235658695534118,7.479252298212595,7.06428951038752,11.6416508665338,5,3.1617691453960024
Residual AI,3.0491493893085444,3.0902750171708613,4.132912702575036,3.389982532617759,8.746265473030364,5,35.543135966593496
