seed,seed_role,geometric_mean_error,direct_ai_mean_error,old_residual_mean_error,optimized_residual_mean_error,optimized_residual_p90_error,optimized_residual_nlos_mean_error,mean_improvement_vs_old_residual_percent,negative_transfer_rate_vs_geometric,learned_correction_cap
42,development,4.861538477490358,3.9114975803190295,7.40894593010962,3.8600484466223315,6.584872301820642,3.9487542023630335,47.9001671353105,0.317333333333333,13.6774814138431
123,development,5.461713824746114,4.741143829229391,7.61913165083006,4.163790444832679,9.434682876660855,4.544987150654883,45.3508531463811,0.270666666666667,13.1089699633419
2026,confirmation,5.588427109064791,4.260040023947664,7.08845578854588,3.8840419395502597,8.609151581407334,4.2092795038963144,45.2060920542607,0.201333333333333,13.3625485369091
