variant,algorithm,scenario,evaluation_split,seed,sample_count,mean_error,rmse,median_error,p90_error,max_error,los_sample_count,los_mean_error,los_rmse,los_median_error,los_p90_error,los_max_error,nlos_sample_count,nlos_mean_error,nlos_rmse,nlos_median_error,nlos_p90_error,nlos_max_error,nlos_los_mean_degradation,nlos_los_mean_degradation_percent,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,mean_error_percent_improvement,inference_time_ms,training_time_s,model_size_mb
full,Residual AI,normal,spatial_holdout,42,4000,3.6058408413958443,4.257285287880477,3.2679417414056373,6.784347815082628,14.317268052502772,842,3.145546888945585,3.3279893226046737,3.1165349434382517,4.478257261812872,7.378828466642055,3158,3.7285664613968312,4.472572462647073,3.3441979527621433,7.344674529559989,14.317268052502772,0.5830195724512461,18.53476018749412,4.960729320173699,-1.3548884787778546,1.3548884787778546,27.31228396735852,25.4955999998856,16.251457800000026,207.80686378479004
without_los_nlos,Residual AI,normal,spatial_holdout,42,4000,3.6874567353940217,4.28393928079128,3.3668743862353843,6.6742134217065825,14.179830096312667,842,3.3272285614815083,3.5250898490121765,3.3235726627451245,4.787658519859605,7.193370895703316,3158,3.783502372643654,4.46454023585596,3.3877093831125826,7.1600160590448185,14.179830096312667,0.4562738111621458,13.713329358984033,4.960729320173699,-1.273272584779677,1.273272584779677,25.667044150175354,25.4955999998856,16.251457800000026,207.80686378479004
without_geometric_residual,Residual AI,normal,spatial_holdout,42,4000,3.6058907754462255,4.246753892970183,3.2756350713479976,6.6340781248696326,14.3994425772853,842,3.1430328680727384,3.323776785784859,3.118563885749505,4.489093128318786,7.424016612269963,3158,3.729300008507808,4.460710408385556,3.3530853361006643,7.274462500924557,14.3994425772853,0.5862671404350697,18.65291153619275,4.960729320173699,-1.3548385447274733,1.3548385447274733,27.3112773804807,25.4955999998856,16.251457800000026,207.80686378479004
without_anchor_mask,Residual AI,normal,spatial_holdout,42,4000,3.6181802758519623,4.251871688433601,3.3004120118080555,6.727526936076153,14.368676006446965,842,3.1715979927385582,3.3570967887345984,3.1471427656294497,4.573595914258572,7.320774593164069,3158,3.7372500296143083,4.46023270737417,3.37666287540507,7.238569377735273,14.368676006446965,0.56565203687575,17.834922274853955,4.960729320173699,-1.3425490443217365,1.3425490443217365,27.063541622035675,25.4955999998856,16.251457800000026,207.80686378479004
without_spatial_bias_training,Residual AI,normal,spatial_holdout,42,4000,3.5212963422045513,4.195832951976635,3.177971835525266,6.770265454485698,14.267771310393044,842,2.932266363416483,3.144089326394597,2.968227102327541,4.304955404940977,7.471108748071848,3158,3.6783461338890207,4.434329632137388,3.2674654964975742,7.361712767591604,14.267771310393044,0.7460797704725377,25.443792548343215,4.960729320173699,-1.4394329779691475,1.4394329779691475,29.016559563438268,25.4955999998856,16.251457800000026,207.80686378479004
without_kalman_filter,Residual AI,normal,trajectories,42,540,3.5095389359498284,4.105479335620478,3.1331264252167816,6.408488362736123,11.348338424618136,35,1.7602370147974078,2.064021493310252,1.7179496510012686,2.9351809146532406,4.730083743201992,505,3.6307776829603924,4.210447224721195,3.3316800317486504,6.525182624575144,11.348338424618136,1.8705406681629846,106.26640915049,6.97082466384059,-3.4612857278907616,3.4612857278907616,49.65389168150098,25.4955999998856,16.251457800000026,207.80686378479004
with_kalman_filter,Residual AI + Kalman,normal,trajectories,42,540,3.324801358804028,3.8609436225308156,3.0463687754887268,5.820135416836967,10.173414458156843,35,1.5207301048863584,1.685286994142809,1.4307307015958488,2.5351515768721016,2.7490738249535487,505,3.449836000164659,3.9677690381105246,3.1803549732300067,5.92851493341681,10.173414458156843,1.9291058952783005,126.85392950923789,6.97082466384059,-3.646023305036562,3.646023305036562,52.30404551629875,18.570899999758694,16.251457800000026,207.80743312835693
